,Song,Tags
60,Lifes Song,"lifessong jackowen bigband,""mansorchestra"""
61,Too Fat To Fly,"toofattofli rogeralanwad outlawcountry,chattanoogaindi"
62,"I Wonder, I Wonder, I Wonder",thebestofthemercuryyear eddyhoward britishdanceband
63,My Adobe Hacienda,thebestofthemercuryyear eddyhoward britishdanceband
64,Huggin and Chalkin,"thecompleteearlymasters(doxycollection,restored,remastered) hoagycarmichael vintagejazz,tinpanalley"
65,For Sentimental Reasons,"unforgett natkingcoletrio swing,adultstandards,lounge,vocaljazz"
66,Ole Buttermilk Sky,"hoagycarmichael hoagycarmichaeltrio bigband,""mansorchestra"""
67,If I Loved You,"imagin dickhaym swing,deepadultstandards,britishdanceband"
68,You Do,"presentingvaughnmonro vaughnmonro swing,vaudeville,deepadultstandards,britishdanceband"
69,Seems Like Old Times,"enjoyyourself:thehitsofguylombardo guylombardo vaudeville,bigband,tinpanalley,swing,britishdanceband"
70,Laughing on the Outside,"16mostrequestedsongs:encore! dinahshor adultstandards,torchsong,easylistening,vocaljazz"
71,White Christmas,"holidayinn(originalmotionpicturesoundtrack) bingcrosby,kendarbysingers,johnscotttrotter&hisorchestra lightmusic,adultstandards,lounge,easylisten"
72,Across The Alley From The Alamo,"theanthology:1931-1968 themillsbroth vocalharmonygroup,sw"
73,Civilization  - Single Version,"theverybestofdannykay dannykaye,theandrewssisters,vicschoen&hisorchestra musichall,torchsong,bigband,vocalharmonygroup,adultstandards,swing,lounge,com"
74,The Old Lamp-Lighter,"thebestofkaykyserandhisorchestra kaykyser&hisorchestra ""mansorchestra"""
75,Open The Door,"trax9futurebeat fkj filterhouse,indiesoul"
76,Peg o My Heart,"pegomyheart&otherhit artlund bigband,""mansorchestra"""
77,You Do,thecompletecapitolhitsofmargaretwhit margaretwhit torchsong
78,Feudin And Fightin,"comingroundthemountain,theparkavenuehillbilli dorothyshaytheparkavenuehillbilli bigband,""mansorchestra"""
79,Blue Bayou,"simpledream lindaronstadt softrock,folk,singer-songwriter,countryrock,mellowgold,heartlandrock,folkrock"
80,A Wonderful Guy,"texbenekeandhismusicinthemillermood texbenek swing,bigband,jazzsaxophon"
81,"Managua, Nicaragua","enjoyyourself:thehitsofguylombardo guylombardo vaudeville,bigband,tinpanalley,swing,britishdanceband"
82,How Soon,"timeonmyhand vaughnmonro swing,vaudeville,deepadultstandards,britishdanceband"
83,The Whiffenpoof Song,"crosbyclassics(songsfromhisfamousradiobroadcasts) bingcrosby,johnscotttrotter&hisorchestra,thecharioteers,therhythmair vocalharmonygroup,adultstandards,easylistening,lightmusic,loung"
84,"Open The Door, Richard",savoychartbust dustyfletch novelti
