,Song,Tags
1560,The Chokin Kind,"thechokinkind joesimon phillysoul,southernsoul"
1561,Smile A Little Smile For Me,"bubblegumandweirdtrips:britaininthelate60 theflyingmachin bigband,""mansorchestra"""
1562,Polk Salad Annie,"black&whit tonyjoewhit swampblues,swamppop,modernblues,swamprock,louisianablu"
1563,"Ruby, Dont Take Your Love To Town",thebestofkennyrogers:20thcenturymastersthemillenniumcollect kennyrogers&thefirstedit psychedelicrock
1564,Games People Play,introspect(bonustrackversion) joesouth bubblegumpop
1565,You Showed Me,"theturtlespresentthebattleoftheband theturtl rock-and-roll,psychedelicrock,folkrock,bubblegumpop,classicrock"
1566,Tracy,"tracy(expandededition) thecufflink bigband,""mansorchestra"""
1567,"Oh, What A Night","oh,whatanight!/thegreatballad thedel soul,funk,classicsoul,southernsoul,quietstorm,chicagosoul,disco"
1568,Something - Remastered 2009,"abbeyroad(remastered) thebeatl psychedelicrock,rock,britishinvasion,beatlesque,merseybeat,classicrock"
1569,This Girl Is a Woman Now,"superhit garypuckett&theuniongap rock-and-roll,countryrock,folkrock,merseybeat,rockabilly,softrock,mellowgold,bubblegumpop,adultstandard"
1570,Come Together - Remastered 2009,"abbeyroad(remastered) thebeatl psychedelicrock,rock,britishinvasion,beatlesque,merseybeat,classicrock"
1571,Ramblin Gamblin Man,"ramblingamblinman bobseg heartlandrock,detroitrock,countryrock,hardrock,rock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
1572,Im Gonna Make You Love Me,"50thanniversary:thesinglescollection1961-1969 dianaross&thesupremes,thetempt motown,classicgirlgroup,soul,memphissoul"
1573,I Heard It Through The Grapevine,"inthegroov marvingay soul,motown,classicsoul,quietstorm,northernsoul,neosoul"
1574,Gimme Gimme Good Lovin,crazyeleph crazyeleph bubblegumpop
1575,Hang Em High,"soullimbo ""bookert.&them.g.s"" soul,instrumentalfunk,classicsoul,instrumentalsoul,southernsoul,memphissoul,blu"
1576,Your Good Thing,"legendarylourawl lourawl soul,motown,phillysoul,soulblues,classicsoul,quietstorm,disco"
1577,"Baby, Im For Real","baby,imforr theorigin northernsoul,motown,southernsoul,classicsoul"
1578,Oh Happy Day,"ohhappyday:thebestoftheedwinhawkinssing theedwinhawkinssing bigband,""mansorchestra"""
1579,Love Me Tonight,"thebestof...tomjon tomjon britishinvasion,adultstandard"
1580,"Mr. Sun, Mr. Moon","quentintarantinosonceuponatimeinhollywoodoriginalmotionpicturesoundtrack paulrevere&theraiders,marklindsay rock-and-roll,protopunk,countryrock,psychedelicrock,folkrock,merseybeat,rockabilly,softrock,mellowgold,singer-songwriter,bubblegumpop,classicgaragerock,classicrock"
1581,Laughing,"thebestoftheguesswho theguesswho heartlandrock,countryrock,hardrock,rock,folkrock,albumrock,softrock,mellowgold,classiccanadianrock,singer-songwriter,classicrock"
1582,My Whole World Ended,"mywholeworldend davidruffin soul,funk,motown,classicsoul,quietstorm,disco"
1583,Soul Deep,"dimens theboxtop rock-and-roll,psychedelicrock,folkrock,merseybeat,bubblegumpop,classicgaragerock"
1584,Hooked on a Feeling - Rerecorded,"b.j.thoma b.j.thoma folkrock,classiccountrypop,softrock,mellowgold,bubblegumpop,adultstandard"
1585,"Sweet Cream Ladies, Forward March","dimens theboxtop rock-and-roll,psychedelicrock,folkrock,merseybeat,bubblegumpop,classicgaragerock"
1586,Bridge Over Troubled Water,"bridgeovertroubledwat simon&garfunkel rock,folkrock,folk,softrock,mellowgold,melancholia,classicrock"
1587,Close To You,theventuresplaythecarpent theventur surfmus
1588,American Woman,"americanwoman theguesswho heartlandrock,countryrock,hardrock,rock,folkrock,albumrock,softrock,mellowgold,classiccanadianrock,singer-songwriter,classicrock"
1589,Raindrops Keep Fallin on My Head - Rerecorded,"b.j.thoma b.j.thoma folkrock,classiccountrypop,softrock,mellowgold,bubblegumpop,adultstandard"
1590,War,"warandpeac edwinstarr soul,motown,classicsoul,southernsoul,northernsoul"
1591,Aint No Mountain High Enough - Short Promo Version,"thecompletemotownsinglesvol.10:1970 dianaross soul,motown,quietstorm,softrock,adultstandards,disco"
1592,Ill Be There,"thecompletemotownsinglesvol.10:1970 thejackson5 motown,soul"
1593,Get Ready - Single Version,"fillyourhead:thestudioalbums1969-1974 rareearth britishblues,bluesrock,countryrock,psychedelicrock,psychedelicsoul,southernrock,classicrock"
1594,Let It Be - Remastered 2009,"letitbe(remastered) thebeatl psychedelicrock,rock,britishinvasion,beatlesque,merseybeat,classicrock"
1595,Band Of Gold - Re-Record,"bandofgold(remix) fredapayn motown,beachmus"
1596,Mama Told Me  - Single Version,"itainteasi threedognight heartlandrock,countryrock,hardrock,folkrock,albumrock,softrock,mellowgold,classicrock"
1597,Everything Is Beautiful - 1970 #1 Billboard chart hit,"everythingisbeauti raysteven novelty,classiccountrypop"
1598,Make It with You,"onthewat bread singer-songwriter,softrock,folkrock,mellowgold"
1599,Hitchin A Ride,"vanityfare-hitchinaride(theoriginalhits) vanityfar merseybeat,bubblegumpop,classicgaragerock,classicukpop"
1600,ABC,"abc thejackson5 motown,soul"
1601,The Love You Save,"abc thejackson5 motown,soul"
1602,Cracklin Rosie - Single Version,"taprootmanuscript neildiamond heartlandrock,folkrock,yachtrock,softrock,mellowgold,singer-songwriter,brillbuildingpop,adultstandard"
1603,Candida,"candida thedawn,tonyorlando&dawn classiccountrypop,softrock,mellowgold,bubblegumpop,adultstandard"
1604,Thank You  - Single Version,"greatesthit sly&thefamilyston pfunk,soul,funk,funkrock,psychedelicsoul,classicsoul,southernsoul"
1605,Spill The Wine,"thebestofericburdon&war ericburdon,war soul,britishblues,funk,motown,classicsoul"
1606,O-o-h Child,"thefirstfamilyofsoul:thebestofthefivestairstep thefivestairstep motown,chicagosoul,classicsoul"
1607,Spirit In The Sky,spiritintheski normangreenbaum classicrock
1608,Lay Down  - Long Version,"beautifulpeople:thegreatesthitsofmelani melanie,theedwinhawkinssing persianpop,folk"
1609,Ball Of Confusion  - Single Version/Mono,"20thcenturymasters:themillenniumcollection:bestofthetemptations,vol.2-the70s,80s,90 thetempt motown,soul,memphissoul"
1610,Love on a Two Way Street,"loveonatwo-waystreet(usrelease) themoment soul,funk,post-disco,motown,classicsoul,southernsoul,quietstorm,disco"
1611,"Which Way You Goin, Billy?","agoodthinglost:1968-1973 thepoppyfamily,terryjacks,susanjack classiccanadianrock,psychedelicfolk,canadianpsychedel"
1612,All Right Now,"fireandwat free britishblues,bluesrock,countryrock,hardrock,progressiverock,albumrock,classicrock"
1613,I Want You Back,"dianarosspresentsthejackson5 thejackson5 motown,soul"
1614,"Julie, Do Ya Love Me","withlove,bobbi bobbysherman bubblegumpop"
1615,Green-Eyed Lady,"green-eyedladi sugarloaf countryrock,psychedelicrock,bubblegumpop,southernrock"
1616,"Signed, Sealed, Delivered","signed,sealedanddeliv steviewond motown,soul"
1617,Ride Captain Ride,"open(usinternetrelease) bluesimag psychedelicrock,southernrock"
1618,Venus,athom shockingblu nederpop
1619,Instant Karma!  - Remastered 2010,"signaturebox johnlennon,yokoono experimental,rock,experimentalpop,beatlesque,classicrock"
1620,Patches,"patch clarencecart soul,southernsoul"
1621,Lookin Out My Back Door,"cosmosfactori creedenceclearwaterreviv countryrock,rock,swamprock,southernrock,classicrock"
1622,Rainy Night in Georgia,"brookbentontoday brookbenton southernsoul,rhythmandblu"
1623,Somethings Burning,"alltimegreatesthits,vol.1 kennyrogers&thefirstedit psychedelicrock"
1624,Give Me Just a Little More Time   Karaoke Version,"thekaraokechannel-pophitsof1970,vol.1 thekaraokechannel karaok"
1625,Love Grows,"lovegrows(wheremyrosemarygoes)&othergem edisonlighthous bigband,""mansorchestra"""
1626,The Long And Winding Road - Remastered 2009,"letitbe(remastered) thebeatl psychedelicrock,rock,britishinvasion,beatlesque,merseybeat,classicrock"
1627,Snowbird,"thiswayismyway annemurray canadiancountry,canadianpop,classiccountrypop,softrock,mellowgold,adultstandard"
1628,Reflections of My Life,"reflectionsofmylife(originalrecordings) marmalad rock-and-roll,merseybeat,bubblegumpop,classicukpop"
1629,Hey There Lonely Girl,"ilovey eddieholman northernsoul,phillysoul,southernsoul,classicsoul"
1630,The Rapper,"wewenttodifferentschoolstogeth thejaggerz bigband,""mansorchestra"""
1631,"He Aint Heavy, Hes My Brother","superhit theholli folkrock,britishinvasion,merseybeat,albumrock,softrock,mellowgold,classicrock"
1632,"Tighter, Tighter","alivenkickin ""alivenkickin"" bigband,""mansorchestra"""
1633,Come And Get It - Remastered 2010,"magicchristianmusic(remastered2010/deluxeedition) badfing britishblues,powerpop,countryrock,janglepop,folkrock,beatlesque,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
1634,Cecilia,"bridgeovertroubledwat simon&garfunkel rock,folkrock,folk,softrock,mellowgold,melancholia,classicrock"
1635,Love Land,"loveland/sorrycharli charleswright&thewatts103rdstreetrhythmband bigband,""mansorchestra"""
1636,Turn Back The Hands Of Time,"turnbackthehandsoftim tyronedavi southernsoul,chicagosoul"
1637,Lola - 2020 Stereo Remaster,"lolaversuspowermanandthemoneygoround,pt.1 thekink protopunk,artrock,glamrock,psychedelicrock,rock,folkrock,britishinvasion,albumrock,singer-songwriter,classicrock"
1638,In the Summertime,"inthesummertim mungojerri britishblues,classicukpop"
1639,Indiana Wants Me - Commercial Version,thecompletemotownsinglesvol.10:1970 r.deantaylor northernsoul
1640,Im Losing You - Single Version,"ecolog rareearth britishblues,bluesrock,countryrock,psychedelicrock,psychedelicsoul,southernrock,classicrock"
1641,"Easy Come, Easy Go",platinumhit bobbysherman bubblegumpop
1642,Express Yourself,"expressyourself charleswright&thewatts103rdstreetrhythmband bigband,""mansorchestra"""
1643,Still Water,"thecompletemotownsinglesvol.10:1970 fourtop soul,motown,classicsoul,quietstorm,disco"
1644,Make Me Smile  - 2002 Remaster,"chicagoii chicago rock,yachtrock,albumrock,softrock,mellowgold,classicrock"
1645,House Of The Rising Sun,"20#1sclassicrock(vol.3) frijidpink britishblues,proto-metal,psychedelicblues-rock,detroitrock,psychedelicrock"
1646,25 or 6 to 4 - 2002 Remaster,"chicagoii chicago rock,yachtrock,albumrock,softrock,mellowgold,classicrock"
1647,My Baby Loves Lovin,"rewindthe70s-volume2 whiteplain bubblegumpop,classicukpop"
1648,Love or Let Me Be Lonely,"realfriend thefriendsofdistinct motown,classicsoul"
1649,United We Stand,"singingasong/goodfortun brotherhoodofman merseybeat,bubblegumpop,classicukpop"
1650,"Weve Only Just Begun - Live On The Ed Sullivan Show, October 18, 1970","weveonlyjustbegun(liveontheedsullivanshow,october18,1970) carpent mellowgold,softrock,adultstandard"
1651,Arizona,arizona marklindsay bubblegumpop
1652,Fire and Rain - 2019 Remaster,"sweetbabyjames(2019remaster) jamestaylor heartlandrock,folkrock,folk,softrock,mellowgold,singer-songwriter,classicrock"
1653,Groovy Situation - Single Version,"soulmast genechandl northernsoul,southernsoul,chicagosoul,classicsoul"
1654,Evil Ways,"santana(legacyedition) santana classicrock,mexicanclassicrock,bluesrock"
1655,No Time,"americanwoman theguesswho heartlandrock,countryrock,hardrock,rock,folkrock,albumrock,softrock,mellowgold,classiccanadianrock,singer-songwriter,classicrock"
1656,Didn’t I,"sweetsoulspectacular willhartsingsthedelfon bigband,""mansorchestra"""
1657,The Wonder of You,"theessentialelvispresley elvispresley rock-and-roll,rockabilli"
1658,Up Around The Bend,"cosmosfactori creedenceclearwaterreviv countryrock,rock,swamprock,southernrock,classicrock"
1659,Why Cant I Touch You?,"(ifyouletmemakelovetoyouthen)whycantitouchyou?(expandededition) ronniedyson classicsoul,post-discosoul"
1660,I Just Cant Help Believing,"superhit b.j.thoma folkrock,classiccountrypop,softrock,mellowgold,bubblegumpop,adultstandard"
1661,Its A Shame,"2ndtimearound(expandededition) thespinn soul,funk,motown,phillysoul,classicsoul,quietstorm,disco"
1662,"Its Not Unusual/For The Love Of Him - Medley/Live On The Ed Sullivan Show, December 6, 1970","itsnotunusual/fortheloveofhim(medley/liveontheedsullivanshow,december6,1970) bobbimartin bigband,""mansorchestra"""
1663,Mississippi Queen,"climbing! mountain proto-metal,bluesrock,electricblues,countryrock,psychedelicrock,hardrock,albumrock,classicrock"
1664,I Want to Take You Higher,"thesensationalike&tinaturn ike&tinaturn rock-and-roll,soul,classicsoul,southernsoul,disco"
1665,The Letter - Single Version,"theantholog joecock heartlandrock,bluesrock,rock,folkrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
1666,Ma Belle Amie,"mabelleamie-thealbum(expanded&remastered) tee-set,petertetteroo nederpop"
1667,The Bells,"hitsvilleusa-themotownsinglescollection1959-1971 theorigin northernsoul,motown,southernsoul,classicsoul"
1668,Yellow River,"christi christi bubblegumpop,classicukpop"
1669,Somebodys Baby,"thenextvoiceyouhear-thebestofjacksonbrown jacksonbrown heartlandrock,countryrock,folkrock,folk,pianorock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
1670,Vehicle,"vehicl theidesofmarch bigband,""mansorchestra"""
1671,Gimme Dat Ding,gimmedatding! thepipkin novelti
1672,Lay a Little Lovin on Me - Robins Stereo Mix,"ultimateoldies&goodies-onehitwondersofthe50s&60 robinmcnamara bigband,""mansorchestra"""
1673,Up The Ladder To The Roof,"righton thesuprem motown,classicgirlgroup,soul,disco"
1674,Travelin Band,"cosmosfactori creedenceclearwaterreviv countryrock,rock,swamprock,southernrock,classicrock"
1675,Come Saturday Morning,"comesaturdaymorn thesandpip easylistening,bubblegumpop"
1676,Psychedelic Shack,"psychedelicshack thetempt motown,soul,memphissoul"
1677,Its Not Unusual,"alongcamejon tomjon britishinvasion,adultstandard"
1678,Are You Ready?,"areyouready? pacificgas&electr bigband,""mansorchestra"""
1679,Woodstock   Karaoke Version,"thekaraokechannel-toprockhitsof1970,vol.1 thekaraokechannel karaok"
1680,I’ll Never Fall in Love Again,"mellowclass dionnewarwick soul,vocaljazz,quietstorm,softrock,adultstandards,brillbuildingpop,disco"
1681,"Look What Theyve Done to My Song, Ma","beautifulpeopl thenewseek rock-and-roll,merseybeat,bubblegumpop,classicukpop"
1682,Walk A Mile In My Shoes - 2002 Remaster / 24-Bit Mastering,classicmast joesouth bubblegumpop
1683,The Thrill Is Gone,"completelywel b.b.king bluesrock,electricblues,traditionalblues,soulblues,blues,jazzblues,classicrock"
1684,Its Only Make Believe,"glencampbellgoodtimealbum glencampbel arkansascountry,folkrock,classiccountrypop,nashvillesound,softrock,mellowgold,singer-songwriter,adultstandard"
1685,Call Me,"thisgirlsinlovewithy arethafranklin soul,vocaljazz,classicsoul,southernsoul,memphissoul,jazzblu"
1686,Joy To The World,"natur threedognight heartlandrock,countryrock,hardrock,folkrock,albumrock,softrock,mellowgold,classicrock"
1687,Maggie May,"everypicturetellsastori rodstewart softrock,mellowgold"
1688,I Feel the Earth Move,"tapestri carolek folkrock,folk,brillbuildingpop,softrock,mellowgold,singer-songwrit"
1689,One Bad Apple,"osmond theosmond bubblegumpop,adultstandard"
1690,How Deep Is Your Love,"howcanyoumendabrokenheart beege softrock,disco"
1691,Indian Reservation,"indianreserv paulrevere&theraiders,theraid rock-and-roll,protopunk,countryrock,psychedelicrock,folkrock,merseybeat,rockabilly,softrock,mellowgold,singer-songwriter,bubblegumpop,classicgaragerock,classicrock"
1692,Go Away Little Girl,"toyouwithlove,donni donnyosmond movietunes,bubblegumpop"
1693,"Take Me Home, Country Roads - Original Version","poems,prayersandpromis johndenv folkrock,folk,classiccountrypop,softrock,mellowgold,singer-songwrit"
1694,Just My Imagination,"skysthelimit thetempt motown,soul,memphissoul"
1695,Knock Three Times,"candida tonyorlando&dawn classiccountrypop,softrock,mellowgold,bubblegumpop,adultstandard"
1696,Me and Bobby McGee,"pearl(legacyedition) janisjoplin psychedelicrock,rock,hardrock,albumrock,classicrock"
1697,Tired of Being Alone,"getsnexttoy algreen soul,funk,soulblues,classicsoul,southernsoul,memphissoul"
1698,Want Ads,"becauseisaidso(musicfromandinspiredbythemotionpicture) thehoneycon bigband,""mansorchestra"""
1699,Smiling Faces Sometimes,"theundisputedtruth theundisputedtruth motown,psychedelicsoul,southernsoul,classicsoul"
1700,Treat Her Like A Lady,thestoryofcorneliusbrothers&sisterros corneliusbrothers&sisterros classicsoul
1701,Brown Sugar - 2009 Remaster,"stickyfingers(remastered) therollingston rock,classicrock,albumrock,britishinvas"
1702,You’ve Got a Friend,"bestsongsev jamestaylor heartlandrock,folkrock,folk,softrock,mellowgold,singer-songwriter,classicrock"
1703,Mr. Big Stuff,"mr.bigstuff jeanknight neworleanssoul,southernsoul"
1704,Do You Know What I Mean,5th(remastered) leemichael hammondorgan
1705,The Night They Drove Old Dixie Down,"blessedare... joanbaez americanfolkrevival,singer-songwriter,folkrock,folk"
1706,Whats Going On,"whatsgoingon marvingay soul,motown,classicsoul,quietstorm,northernsoul,neosoul"
1707,Uncle Albert / Admiral Halsey - Medley / 2012 Remaster,"ram(archivecollection) paulmccartney,lindamccartney beatlesque,classicukpop,rock,classicrock"
1708,Ain’t No Sunshine - Lido Remix,"ain’tnosunshine(lidoremix) billwithers,lido soul,funk,quietstorm,norwegianpop,vaportwitch"
1709,Signs,"absolutelyright-thebestoffivemanelectricalband fivemanelectricalband classiccanadianrock,canadianpsychedel"
1710,Shes A Lady,"tomjonessingsshesaladi tomjon britishinvasion,adultstandard"
1711,Ive Found Someone of My Own,"ivefoundsomeoneofmyown thefreemov bigband,""mansorchestra"""
1712,Superstar,"jesuschristsuperstar murrayhead,andrewlloydwebber,timrice,thetrinidadsing newwavepop,broadway,westend"
1713,Amos Moses,"georgiasunshin jerryre country,classiccountrypop,countryrock"
1714,Temptation Eyes,"leavingitallbehind thegrassroot countryrock,psychedelicrock,sunshinepop,folkrock,softrock,bubblegumpop,classicgaragerock"
1715,Superstar,theventuresplaythecarpent theventur surfmus
1716,My Sweet Lord - 2014 Remaster,"allthingsmustpass(2014remaster) georgeharrison rock,folkrock,beatlesque,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
1717,Sweet And Innocent,"thedonnyosmondalbum donnyosmond movietunes,bubblegumpop"
1718,Put Your Hand in the Hand,"putyourhandinthehand ocean bigband,""mansorchestra"""
1719,Chick-a-Boom,thistim daddydewdrop novelti
1720,For All We Know,carpentersparatubeb themixerelectronicsound musicaparanino
1721,If You Could Read My Mind,"ifyoucouldreadmymind gordonlightfoot canadiancountry,heartlandrock,countryrock,canadiansinger-songwriter,folk,folkrock,softrock,mellowgold,singer-songwriter,classicrock"
1722,Help Me Make It Through The Night,"thebestofsammismith sammismith classiccountrypop,nashvillesound,classicoklahomacountry,outlawcountri"
1723,Rainy Days And Mondays,carpentersparatubeb themixerelectronicsound musicaparanino
1724,"Gypsys, Tramps & Thieves","gypsys,tramps&thiev cher pop,dancepop"
1725,Never Can Say Goodbye,"maybetomorrow thejackson5 motown,soul"
1726,Rose Garden,"rosegarden lynnanderson classiccountrypop,nashvillesound"
1727,Dont Pull Your Love,"1971 hamilton,joefrank&reynold bubblegumpop,softrock"
1728,It Dont Come Easy,"ringo ringostarr beatlesque,rockdrums,classicrock"
1729,Mr. Bojangles - Remastered 2001,"certifiedhits(remastered) nittygrittydirtband countryrock,heartlandrock"
1730,I Love You for All Seasons,"sistersofsoul;thesweetervoicesofsoul thefuzz souldies,classicsoul"
1731,Whatcha See Is Whatcha Get,"theverybestofthedramat thedramat soul,funk,motown,classicsoul,southernsoul,quietstorm,memphissoul,disco"
1732,Thats The Way Ive Always Heard It Should Be,"carlysimon carlysimon heartlandrock,folkrock,folk,softrock,mellowgold,singer-songwriter,classicrock"
1733,If You Really Love Me,"whereimcomingfrom steviewond motown,soul"
1734,Spanish Harlem,"theverybestofarethafranklin-the70 arethafranklin soul,vocaljazz,classicsoul,southernsoul,memphissoul,jazzblu"
1735,I Dont Know How To Love Him,"lovesong helenreddi mellowgold,bubblegumpop,softrock,adultstandard"
1736,Yo-Yo,"phaseiii theosmond bubblegumpop,adultstandard"
1737,Bridge over Troubled Water,"theverybestofarethafranklin-the70 arethafranklin soul,vocaljazz,classicsoul,southernsoul,memphissoul,jazzblu"
1738,Come On Get Happy - The Partridge Family Theme,"comeongethappy!theverybestofthepartridgefamili davidcassidi bubblegumpop,adultstandard"
1739,Draggin the Line,"tommyjamesandtheshondells:antholog tommyjames&theshondel rock-and-roll,countryrock,psychedelicrock,folkrock,mellowgold,bubblegumpop,classicgaragerock,classicrock"
1740,Proud Mary,"workintogeth ike&tinaturn rock-and-roll,soul,classicsoul,southernsoul,disco"
1741,Colour My World,"chicagoix:chicagosgreatesthit chicago rock,yachtrock,albumrock,softrock,mellowgold,classicrock"
1742,Stay Awhile - Remastered,20thcenturymasters:thebestofthebel thebel classiccanadianrock
1743,Sweet City Woman   Karaoke Version,"thekaraokechannel-toprockhitsof1971,vol.5 thekaraokechannel karaok"
1744,Me and You and a Dog Named Boo,idloveyoutowantm lobo softrock
1745,Another Day - 2012 Remaster,"ram(archivecollection) paulmccartney,lindamccartney beatlesque,classicukpop,rock,classicrock"
1746,If,"manna bread singer-songwriter,softrock,folkrock,mellowgold"
1747,Mercy Mercy Me,"whatsgoingon marvingay soul,motown,classicsoul,quietstorm,northernsoul,neosoul"
1748,One Toke Over the Line,tarkioroad brewer&shipley countryrock
1749,Shes Not Gone Yet But Shes Leaving,"weneedmedicine(deluxeedition) thefratelli garagerock,scottishrock,modernrock"
1750,Bring The Boys Home,"ontheinsid fredapayn motown,beachmus"
1751,I Just Want To Celebrate,"oneworld rareearth britishblues,bluesrock,countryrock,psychedelicrock,psychedelicsoul,southernrock,classicrock"
1752,Never Ending Song of Love,"motelshot delaney&bonni swamprock,countryrock,britishblues,southernrock"
1753,Easy Loving   Karaoke Version,"thekaraokechannel-countryhitsof1971,vol.2 thekaraokechannel karaok"
1754,Liar,"natur threedognight heartlandrock,countryrock,hardrock,folkrock,albumrock,softrock,mellowgold,classicrock"
1755,Stick up,"stickup sykemontanagotti bigband,""mansorchestra"""
1756,Chirpy Chirpy Cheep Cheep,"mac&katiekissoon:ivefoundmyfreedom,thegreatesthit mac&katiekissoon nederpop,classicukpop"
1757,"Where Do I Begin - Love Theme from ""Love Story""","lovestori andywilliam easylistening,adultstandard"
1758,Wild World,"teaforthetillerman(remastered2020) yusuf/catsteven folkrock,folk,britishfolk,mellowgold,singer-songwriter,classicrock"
1759,"When Youre Hot, Youre Hot","theessentialjerryre jerryre country,classiccountrypop,countryrock"
1760,"Funky Nassau, Pt. 1","funkynassau thebeginningoftheend bahamianpop,raregroov"
1761,If Not For You - Remastered 2022,"ifnotforyou(deluxeedition/remastered2022) olivianewton-john australiandance,softrock,mellowgold,adultstandards,disco"
1762,Groove Me,kingfloyd kingfloyd southernsoul
1763,Watching Scotty Grow,"theverybestofbobbygoldsboro bobbygoldsboro rock-and-roll,easylistening,merseybeat,adultstandards,bubblegumpop"
1764,Woodstock,"laterthatsameyear ""matthewssoutherncomfort"" britishfolk,classicukpop"
1765,Amazing Grace,"theverybestofjudycollin judycollin americanfolkrevival,folkrock,folk,mellowgold,singer-songwrit"
1766,I Hear You Knocking,"singletrax1970-1981 daveedmund pubrock,britishblues,rockabilly,powerpop"
1767,Lonely Days,"2yearson beege softrock,disco"
1768,Here Comes That Rainy Day Feeling Again,herecomesthatrainydayfeelingagain thefortun britishinvas
1769,Won’t Get Fooled Again - Live,"tommyliveattheroyalalberthal thewho rock,hardrock,britishinvasion,albumrock,classicrock"
1770,Trapped By a Thing Called Love,"thisrealwoman deniselasal southernsoul,soulblu"
1771,Mamas Pearl,"thirdalbum thejackson5 motown,soul"
1772,Timothy,"timothi thebuoy bigband,""mansorchestra"""
1773,I Woke Up in Love This Morning,comeongethappy!theverybestofthepartridgefamili thepartridgefamili bubblegumpop
1774,Theme From Shaft - Remastered,"shaft(deluxeedition) isaachay soul,funk,classicsoul,southernsoul,quietstorm,memphissoul,disco"
1775,If I Were Your Woman - Single Version,"ifiwereyourwoman gladysknight&thepip soul,funk,motown,classicsoul,quietstorm,disco"
1776,I Am...I Said - Single Version,"stone neildiamond heartlandrock,folkrock,yachtrock,softrock,mellowgold,singer-songwriter,brillbuildingpop,adultstandard"
1777,Wedding Song,pauland noelpaulstookey jesusmov
1778,"Dont Knock My Love, Pt. 1","cleanupwoman:1971soulandr&b wilsonpickett soul,southernsoul,classicsoul,memphissoul"
1779,Love Her Madly,"l.a.woman thedoor acidrock,psychedelicrock,hardrock,rock,albumrock,classicrock"
1780,Here Comes The Sun,"liveatthecellardoorandatthesantamonicacivicauditorium richiehaven americanfolkrevival,singer-songwriter,folkrock,folk"
1781,Sweet Mary,"rewindthe70s-volume2 wadsworthmans bigband,""mansorchestra"""
1782,Right on the Tip of My Tongue,"rightonthetipofmytongu brendaandthetabul phillysoul,souldies,classicsoul"
1783,One Less Bell To Answer,"portrait the5thdimens motown,sunshinepop,folkrock,softrock,mellowgold,singer-songwriter,bubblegumpop,adultstandard"
1784,Riders on the Storm,"l.a.woman thedoor acidrock,psychedelicrock,hardrock,rock,albumrock,classicrock"
1785,Its Impossible,"itsimposs perrycomo easylistening,adultstandard"
1786,The First Time Ever I Saw Your Face,"firsttak robertaflack soul,vocaljazz,quietstorm,softrock,adultstandards,disco"
1787,Alone Again,"backtofront ""gilbertosullivan"" softrock,adultstandard"
1788,American Pie,"americanpi donmclean heartlandrock,folkrock,folk,softrock,mellowgold,singer-songwriter,classicrock"
1789,Without You,"nilssonschmilsson harrynilsson singer-songwriter,folkrock,folk,classicrock"
1790,The Candy Man,"thatoldblackmag sammydavisjr. lounge,vocaljazz,adultstandard"
1791,I GOTCHA,"theverybestof,volume2. joetex northernsoul,southernsoul"
1792,Lean on Me,"stillbil billwith soul,funk,quietstorm"
1793,Baby Dont Get Hooked on Me,"babydontgethookedonm macdavi countryrock,classiccountrypop"
1794,Brand New Key,"gatherm melani persianpop,folk"
1795,Daddy Dont You Walk So Fast,"thebestofwaynenewton waynenewton easylistening,lounge,adultstandard"
1796,Lets Stay Together,"letsstaytogeth algreen soul,funk,soulblues,classicsoul,southernsoul,memphissoul"
1797,Brandy,lookingglass lookingglass sunshinepop
1798,Oh Girl,"20greatesthit thechi-lit soul,funk,classicsoul,southernsoul,quietstorm,chicagosoul,disco"
1799,Nice to Be with You,nicetobewithy galleri bubblegumpop
1800,My Ding-A-Ling,"havemercy-hiscompletechessrecordings1969-1974 chuckberri rock-and-roll,soul,bluesrock,rock,rockabilly,blues,classicrock"
1801,I Dont Want to Be Right,"(iflovingyouiswrong)idontwanttoberight lutheringram southernsoul,memphissoul"
1802,Heart of Gold,"guitarcoversplaylist neilyoung,arlovega rootsrock,rock,canadiansinger-songwriter,mellowgold,classiccanadianrock,singer-songwriter,permanentwave,classicrock"
1803,Betcha by Golly Wow,"betchabygollywow(live) thestylist soul,funk,motown,phillysoul,classicsoul,quietstorm,disco"
1804,Ill Take You There - Live At Wattstax / 1972,"souldout:thecompletewattstaxcollect thestaplesing soul,classicsoul,southernsoul,memphissoul,chicagosoul"
1805,Ben - Single Version,"ben michaeljackson soul,r&b"
1806,The Lion Sleeps Tonight,"atlanticrecords40thanniversary:hitsingles1958-1977 robertjohn bigband,""mansorchestra"""
1807,Outa-Space,"iwroteasimplesong billypreston soul,psychedelicsoul,rockkeyboard"
1808,Slippin Into Darkness,"greatesthit war motown,funk,soul,classicsoul"
1809,Long Cool Woman  - 1999 Remaster,"distantlight(1999remaster) theholli folkrock,britishinvasion,merseybeat,albumrock,softrock,mellowgold,classicrock"
1810,How Do You Do?,howdoyoudo? mouth&macn nederpop
1811,Song Sung Blue,"all-timegreatesthit neildiamond heartlandrock,folkrock,yachtrock,softrock,mellowgold,singer-songwriter,brillbuildingpop,adultstandard"
